Names,Prices,Link,Image Link
"
                                Asus X515JF-EJ013 i5-1035G1 8 GB 512 GB SSD 2 GB MX130 15.6"" Free Dos Dizüstü Bilgisayar","5.599,99
                TL
",https://www.n11.com/urun/asus-x515jf-ej013-i5-1035g1-8-gb-512-gb-ssd-2-gb-mx130-156-free-dos-dizustu-bilgisayar-1996487?magaza=gpnteknoloji,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/asus-x515jf-ej013-i5-1035g1-8-gb-512-gb-ssd-2-gb-mx130-156-free-dos-dizustu-bilgisayar__0971086879473865.jpg
"
                                Lenovo Ideapad 3 81W1005TTX AMD Ryzen 5-3500U 8 GB 256 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar","4.869,99
                TL
",https://www.n11.com/urun/lenovo-ideapad-3-81w1005ttx-amd-ryzen-5-3500u-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar-1654225?magaza=techburada,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-ideapad-3-81w1005ttx-amd-ryzen-5-3500u-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar__0332483032582154.jpg
"
                                Lenovo IP Gaming 3 82EY00MJTX R7-4800H 16 GB 512 GB SSD GTX1650Ti 15.6"" Dos Dizüstü Bilgisayar","9.589,99
                TL
",https://www.n11.com/urun/lenovo-ip-gaming-3-82ey00mjtx-r7-4800h-16-gb-512-gb-ssd-gtx1650ti-156-dos-dizustu-bilgisayar-2015288?magaza=centralteknoloji,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-ip-gaming-3-82ey00mjtx-r7-4800h-16-gb-512-gb-ssd-gtx1650ti-156-dos-dizustu-bilgisayar__0784531654418955.jpg
"
                                HP Pavilion 15-EG0011NT 2X9J4EA i5-1135G7 8 GB 512 GB SSD 2 GB MX350 15.6"" W10H Dizüstü Bilgisayar","7.599,00
                TL
",https://www.n11.com/urun/hp-pavilion-15-eg0011nt-2x9j4ea-i5-1135g7-8-gb-512-gb-ssd-2-gb-mx350-156-w10h-dizustu-bilgisayar-1952505?magaza=indirim-yeri,https://n11scdn2.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-pavilion-15-eg0011nt-2x9j4ea-i5-1135g7-8-gb-512-gb-ssd-2-gb-mx350-156-w10h-dizustu-bilgisayar__1239707573896817.jpg
"
                                MSI GF63 Thin 10SC-008XTR i5-10300H 8 GB 256 GB SSD 4 GB GTX1650 15.6"" Free Dos FHD Dizüstü Bilgisayar","7.799,00
                TL
",https://www.n11.com/urun/msi-gf63-thin-10sc-008xtr-i5-10300h-8-gb-256-gb-ssd-4-gb-gtx1650-156-free-dos-fhd-dizustu-bilgisayar-1836436?magaza=centralteknoloji,https://n11scdn3.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/msi-gf63-thin10sc-008xtr-i5-10300h-8-gb-256-gb-ssd-4-gb-gtx1650-156-free-dos-dizustu-bilgisayar__1228962982574848.jpg
"
                Dell Latitude 3510 N004L351015EMEA_U i3-10110U 8 GB 256 GB SSD 15.6"" Ubuntu Dizüstü Bilgisayar","4.566,01
                TL
",https://www.n11.com/urun/dell-latitude-3510-n004l351015emeau-i3-10110u-8-gb-256-gb-ssd-156-ubuntu-dizustu-bilgisayar-1679291?magaza=teknomerkez,https://n11scdn2.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/dell-latitude-3510-n004l351015emeau-i3-10110u-156-256-gb-ssd-8-gb-ram-ubuntu-dizustu-bilgisayar__0727010744963337.jpg
"
                Huawei MateBook D 14 AMD Ryzen 7-3700U 8 GB RAM 512 GB SSD 14"" W10H Dizüstü Bilgisayar","6.199,99
                TL
",https://www.n11.com/urun/huawei-matebook-d-14-amd-ryzen-7-3700u-8-gb-ram-512-gb-ssd-14-w10h-dizustu-bilgisayar-1681909?magaza=ofmark,https://n11scdn2.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/huawei-matebook-d-14-amd-ryzen-7-3700u-14-512-gb-ssd-8-gb-ram-w10h-dizustu-bilgisayar__1032845202219507.png
"
                                HP Pavilion Gaming 15-DK1010NT 1U5T0EA i7-10750H 8 GB 512 GB SSD 4 GB GTX1650Ti Dos Dizüstü Bilgisayar","9.649,00
                TL
",https://www.n11.com/urun/hp-pavilion-gaming-15-dk1010nt-1u5t0ea-i7-10750h-8-gb-512-gb-ssd-4-gb-gtx1650ti-dos-dizustu-bilgisayar-2004626?magaza=teknoryabilisim,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-pavilion-gaming-15-dk1010nt-1u5t0ea-i7-10750h-8-gb-512-gb-ssd-4-gb-gtx1650ti-dos-dizustu-bilgisayar__1055186083084769.jpg
"
                HP 15S-EQ1002NT 9YH95EA Athlon 3050U 4 GB 256 GB SSD Free Dos Dizüstü Bilgisayar","3.199,99
                TL
",https://www.n11.com/urun/hp-15s-eq1002nt-9yh95ea-athlon-3050u-4-gb-256-gb-ssd-free-dos-dizustu-bilgisayar-1762948?magaza=mtbilisim,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-15s-eq1002nt-9yh95ea-athlon-3050u-4-gb-256-gb-ssd-free-dos-dizustu-bilgisayar__0145068399080875.png
"
                                Lenovo V155 82C7001GTX Ryzen 3-3250U 4 GB RAM 1 TB HDD 15.6'' Free Dos Dizüstü Bilgisayar","3.399,99
                TL
",https://www.n11.com/urun/lenovo-v155-82c7001gtx-ryzen-3-3250u-4-gb-ram-1-tb-hdd-156-free-dos-dizustu-bilgisayar-1718077?magaza=dtpazara-s,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-v155-82c7001gtx-ryzen-3-3250u-4-gb-ram-1-tb-hdd-156-free-dos-dizustu-bilgisayar__0176082100999286.jpg
